"Building0","Building1","Building3","Building4","Building5","Building6","Solar0","Solar1","Solar2","Solar3","Solar4","Solar5","timestamp"
56.116,16.8275,534.855,1.2,28.52,36.401,35.88195,9.90255,8.99955,8.20199999999999,4.6795,30.7266,2020-10-01 00:00:00
47.664,3.8345,574.35,1.13,29.24,36.912,36.8954,10.429,9.5459,8.79679999999999,4.44625,32.08115,2020-10-01 00:15:00
37.531,8.02199999999999,580.66,1.145,25.555,36.328,37.52435,10.48535,9.61720000000001,8.89049999999999,4.22365,32.1804,2020-10-01 00:30:00
34.945,12.3675,561.545,1.225,28.965,36.284,37.40695,10.1042,9.73820000000002,8.97589999999999,4.16765,32.34865,2020-10-01 00:45:00
34.9725,18.2685,610.11,1.145,30.06,36.663,37.86445,9.83115,9.70030000000001,8.82134999999999,3.80665,31.9441,2020-10-01 01:00:00
17.0665,3.9475,626.62,1.2,28.69,35.761,37.7312,10.01355,9.72865000000001,8.76124999999999,3.68725,31.88575,2020-10-01 01:15:00
14.5985,8.28550000000001,592.175,1.215,29.16,34.371,37.64695,9.99349999999999,9.90030000000001,8.78734999999999,5.48055,31.8918,2020-10-01 01:30:00
14.7445,12.485,572.545,1.195,29.645,34.269,38.04705,9.38765,10.24255,9.16679999999999,5.17445,30.8077,2020-10-01 01:45:00
16.071,18.6545,591.535,1.215,26.05,33.937,37.0985,9.36015,10.0382,9.07754999999999,5.23505,30.3016,2020-10-01 02:00:00
13.3595,4.857,577.63,1.095,29.305,35.092,35.1481,8.97125,9.32225000000001,8.6882,4.8272,29.29655,2020-10-01 02:15:00
12.6905,9.63199999999999,602.35,1.05,26.37,35.767,34.26655,8.7044,9.04395,8.44595,4.81385,27.92705,2020-10-01 02:30:00
15.939,13.576,587.935,1.03,30.175,36.433,33.94595,8.8875,9.02,8.4902,4.48065,28.0714,2020-10-01 02:45:00
18.096,21.002,528.275,1.055,27.3,37.497,33.8729,8.91275,8.92320000000001,8.5106,4.3283,27.861,2020-10-01 03:00:00
18.8575,4.2285,547.165,1.055,27.875,37.215,33.42085,8.79065,8.93230000000001,8.3417,4.3625,27.92765,2020-10-01 03:15:00
19.5955,9.65699999999999,571.695,1.005,27.495,37.247,34.26145,8.861,9.15725000000002,8.42730000000001,5.2285,28.4441,2020-10-01 03:30:00
25.4965,14.327,700.315,1.07,26.07,37.544,35.2484,9.0814,9.71395000000001,8.7295,5.39985,27.46595,2020-10-01 03:45:00
38.0065,20.286,739.365,1.11,27.88,37.753,33.1571000000001,8.9339,9.67205000000001,8.8244,5.54185,27.2528,2020-10-01 04:00:00
33.3675,4.8665,715.87,1.155,28.13,37.481,31.8029,8.88605,9.27525000000001,8.58925,5.14985,28.2743,2020-10-01 04:15:00
26.132,10.278,559.635,1.235,28.545,37.615,31.60115,8.87735,8.94275000000001,8.48755,4.7811,28.6172,2020-10-01 04:30:00
26.191,15.741,477.405,1.135,26.54,36.882,31.0961,8.76805,8.86440000000001,8.3155,4.11415000000001,28.7045,2020-10-01 04:45:00
28.8575,19.382,432.64,1.14,24.56,36.751,28.09975,8.4269,8.03610000000001,7.64675,3.21375,27.26505,2020-10-01 05:00:00
25.892,6.29,440.665,1.09,20.555,36.808,25.51235,7.86815,7.2543,7.0912,2.97065,25.37715,2020-10-01 05:15:00
23.814,10.93,456.665,1.08,22.785,37.249,24.0468,7.92964999999999,7.05415,6.7993,2.88095,24.06855,2020-10-01 05:30:00
21.024,15.7835,456.68,1.355,24.89,37.278,22.48245,7.0834,6.43655,6.5098,2.72065,22.72505,2020-10-01 05:45:00
18.0445,14.1515,487.255,1.29,26.18,34.255,19.81255,6.3806,5.71045,5.8207,2.49545,21.5868,2020-10-01 06:00:00
18.083,4.821,527.95,1.095,26.84,33.577,17.50715,5.36385000000001,4.94559999999999,5.2378,1.8455,19.90125,2020-10-01 06:15:00
45.7755000000001,8.45650000000001,540.92,1.085,29.545,33.497,13.04965,4.8085,4.13014999999999,4.5046,1.5854,15.69005,2020-10-01 06:30:00
54.944,13.5445,554.525,1.08,22.465,34.061,9.40914999999999,3.89035000000001,3.19365,3.48375,1.2497,12.5913,2020-10-01 06:45:00
55.8015,16.034,385.62,1.105,16.19,30.293,6.00075,2.826,2.36775,2.6183,0.7604,8.33875,2020-10-01 07:00:00
79.198,4.188,392.51,1.09,27.825,30.115,4.66455,1.87315,1.7864,1.9274,0.5079,6.6704,2020-10-01 07:15:00
99.4599999999999,8.178,411.025,1.035,15.375,29.7139999999999,2.3266,1.21645,1.1269,1.48305,0.27405,3.8056,2020-10-01 07:30:00
107.355,12.472,361.88,1.13,22.68,28.09,1.3066,0.532500000000001,0.535550000000001,0.58025,0.14915,1.85315,2020-10-01 07:45:00
108.1795,17.4275,385.71,1.1,15.75,28.969,1.045,0.2725,0.3306,0.3146,0.0476,1.2692,2020-10-01 08:00:00
119.1795,3.588,402.3,1.115,1.245,29.76,0.64845,0.0902,0.07215,0.08135,0.0245499999999999,0.593899999999999,2020-10-01 08:15:00
124.5065,6.7085,386.27,1.14,1.27,28.795,0.0642999999999999,0.01705,0.01635,0.0109,0.00405,0.34345,2020-10-01 08:30:00
133.8285,9.34450000000001,391.6,1.115,1.295,30.798,0.0104,4e-04,2e-04,0.00085,0.00035,0.0015,2020-10-01 08:45:00
142.7685,14.1305,518.19,1.15,2.01,31.362,0.0108999999999999,0,0,5e-05,0.0178,0,2020-10-01 09:00:00
151.7355,3.155,386.245,1.21,1.895,30.676,0.00999999999999992,0,0,0,0.08705,0,2020-10-01 09:15:00
154.8175,5.981,371.405,1.205,2.09,29.841,0.00999999999999991,0,0,0,0.06165,0,2020-10-01 09:30:00
157.549,8.793,348.215,1.165,2.395,29.4970000000001,0.00999999999999988,0,0,0,0.0869,0,2020-10-01 09:45:00
158.8445,11.4715,322.535,1.42,3.325,29.209,0.00999999999999987,0,0,0,0.0412,0,2020-10-01 10:00:00
161.926,2.7545,330.87,1.735,3.115,29.015,0.00999999999999984,0,0,0,0.03205,0,2020-10-01 10:15:00
152.8875,5.389,332.55,1.535,3.33,28.898,0.00999999999999984,0,0,0,0.03725,0,2020-10-01 10:30:00
