REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2020/11/01 00:30:00,4252.61,75.16,TRADE
VIC1,2020/11/01 01:00:00,4119.61,69.14,TRADE
VIC1,2020/11/01 01:30:00,4015.35,52.61,TRADE
VIC1,2020/11/01 02:00:00,3844.49,52.02,TRADE
VIC1,2020/11/01 02:30:00,3759.76,48.85,TRADE
VIC1,2020/11/01 03:00:00,3688.59,45.75,TRADE
VIC1,2020/11/01 03:30:00,3647.14,44.88,TRADE
VIC1,2020/11/01 04:00:00,3629.2,44.83,TRADE
VIC1,2020/11/01 04:30:00,3609.29,44.66,TRADE
VIC1,2020/11/01 05:00:00,3658.01,44.32,TRADE
VIC1,2020/11/01 05:30:00,3750.18,48.34,TRADE
VIC1,2020/11/01 06:00:00,3757.92,45.50,TRADE
VIC1,2020/11/01 06:30:00,3839.79,38.03,TRADE
VIC1,2020/11/01 07:00:00,3897.11,34.85,TRADE
VIC1,2020/11/01 07:30:00,3882.64,33.65,TRADE
VIC1,2020/11/01 08:00:00,3875.82,33.31,TRADE
VIC1,2020/11/01 08:30:00,3827.81,33.54,TRADE
VIC1,2020/11/01 09:00:00,3786.47,30.22,TRADE
VIC1,2020/11/01 09:30:00,3693.17,31.88,TRADE
VIC1,2020/11/01 10:00:00,3513.56,32.84,TRADE
VIC1,2020/11/01 10:30:00,3371.39,26.08,TRADE
VIC1,2020/11/01 11:00:00,3250.78,27.34,TRADE
VIC1,2020/11/01 11:30:00,3142.35,22.64,TRADE
VIC1,2020/11/01 12:00:00,2955.42,8.34,TRADE
VIC1,2020/11/01 12:30:00,2838.88,7.38,TRADE
VIC1,2020/11/01 13:00:00,2711.16,6.20,TRADE
VIC1,2020/11/01 13:30:00,2709.55,17.18,TRADE
VIC1,2020/11/01 14:00:00,2755.92,18.11,TRADE
VIC1,2020/11/01 14:30:00,2811.63,22.54,TRADE
VIC1,2020/11/01 15:00:00,2921.54,27.44,TRADE
VIC1,2020/11/01 15:30:00,3108.65,33.05,TRADE
VIC1,2020/11/01 16:00:00,3311.39,31.12,TRADE
VIC1,2020/11/01 16:30:00,3648.16,33.88,TRADE
VIC1,2020/11/01 17:00:00,3941.98,48.41,TRADE
VIC1,2020/11/01 17:30:00,4259.39,55.41,TRADE
VIC1,2020/11/01 18:00:00,4472.86,77.54,TRADE
VIC1,2020/11/01 18:30:00,4524.26,60.73,TRADE
VIC1,2020/11/01 19:00:00,4577.09,89.04,TRADE
VIC1,2020/11/01 19:30:00,4607.79,62.65,TRADE
VIC1,2020/11/01 20:00:00,4610.76,58.38,TRADE
VIC1,2020/11/01 20:30:00,4552.97,54.38,TRADE
VIC1,2020/11/01 21:00:00,4461.46,57.70,TRADE
VIC1,2020/11/01 21:30:00,4367.22,53.54,TRADE
VIC1,2020/11/01 22:00:00,4214.17,44.09,TRADE
VIC1,2020/11/01 22:30:00,4157.3,45.74,TRADE
VIC1,2020/11/01 23:00:00,4095.69,44.63,TRADE
VIC1,2020/11/01 23:30:00,4348.78,48.07,TRADE
VIC1,2020/11/02 00:00:00,4329.26,51.78,TRADE
VIC1,2020/11/02 00:30:00,4232.92,47.82,TRADE
VIC1,2020/11/02 01:00:00,4127,50.37,TRADE
VIC1,2020/11/02 01:30:00,4037.8,47.44,TRADE
VIC1,2020/11/02 02:00:00,3896.37,44.53,TRADE
VIC1,2020/11/02 02:30:00,3821.66,44.97,TRADE
VIC1,2020/11/02 03:00:00,3751.57,42.51,TRADE
VIC1,2020/11/02 03:30:00,3765.74,42.61,TRADE
VIC1,2020/11/02 04:00:00,3776.17,44.10,TRADE
VIC1,2020/11/02 04:30:00,3879.81,47.03,TRADE
VIC1,2020/11/02 05:00:00,4007.99,46.49,TRADE
VIC1,2020/11/02 05:30:00,4252.45,49.70,TRADE
VIC1,2020/11/02 06:00:00,4433.22,47.86,TRADE
VIC1,2020/11/02 06:30:00,4725.94,46.41,TRADE
VIC1,2020/11/02 07:00:00,4816.99,40.10,TRADE
VIC1,2020/11/02 07:30:00,4673.53,35.37,TRADE
VIC1,2020/11/02 08:00:00,4604.85,37.22,TRADE
VIC1,2020/11/02 08:30:00,4375.19,33.91,TRADE
VIC1,2020/11/02 09:00:00,4066.37,31.25,TRADE
VIC1,2020/11/02 09:30:00,3842.41,31.08,TRADE
VIC1,2020/11/02 10:00:00,3676.14,31.65,TRADE
VIC1,2020/11/02 10:30:00,3593.05,12.96,TRADE
VIC1,2020/11/02 11:00:00,3562.59,20.13,TRADE
VIC1,2020/11/02 11:30:00,3533.76,32.18,TRADE
VIC1,2020/11/02 12:00:00,3539.4,25.60,TRADE
VIC1,2020/11/02 12:30:00,3566.58,29.90,TRADE
VIC1,2020/11/02 13:00:00,3569.53,32.49,TRADE
VIC1,2020/11/02 13:30:00,3681.96,31.11,TRADE
VIC1,2020/11/02 14:00:00,3774.71,35.25,TRADE
VIC1,2020/11/02 14:30:00,3863.47,36.13,TRADE
VIC1,2020/11/02 15:00:00,4036.12,38.03,TRADE
VIC1,2020/11/02 15:30:00,4249.07,43.24,TRADE
VIC1,2020/11/02 16:00:00,4492.21,56.46,TRADE
VIC1,2020/11/02 16:30:00,4801.79,52.48,TRADE
VIC1,2020/11/02 17:00:00,5047.6,72.28,TRADE
VIC1,2020/11/02 17:30:00,5159.87,68.96,TRADE
VIC1,2020/11/02 18:00:00,5225.88,165.37,TRADE
VIC1,2020/11/02 18:30:00,5185.06,124.79,TRADE
VIC1,2020/11/02 19:00:00,5075.6,150.02,TRADE
VIC1,2020/11/02 19:30:00,4988.48,58.60,TRADE
VIC1,2020/11/02 20:00:00,4956.05,55.66,TRADE
VIC1,2020/11/02 20:30:00,4822.91,54.74,TRADE
VIC1,2020/11/02 21:00:00,4614.23,46.27,TRADE
VIC1,2020/11/02 21:30:00,4489.35,41.75,TRADE
VIC1,2020/11/02 22:00:00,4309.7,36.52,TRADE
VIC1,2020/11/02 22:30:00,4203.88,41.81,TRADE
VIC1,2020/11/02 23:00:00,4045.64,34.92,TRADE
VIC1,2020/11/02 23:30:00,4238.96,35.65,TRADE
VIC1,2020/11/03 00:00:00,4216.66,38.15,TRADE
VIC1,2020/11/03 00:30:00,4033.58,35.36,TRADE
VIC1,2020/11/03 01:00:00,3939.92,39.82,TRADE
VIC1,2020/11/03 01:30:00,3876.71,36.51,TRADE
VIC1,2020/11/03 02:00:00,3678.61,34.18,TRADE
VIC1,2020/11/03 02:30:00,3579.57,30.13,TRADE
VIC1,2020/11/03 03:00:00,3476.22,16.36,TRADE
VIC1,2020/11/03 03:30:00,3443.87,9.14,TRADE
VIC1,2020/11/03 04:00:00,3432.93,9.10,TRADE
VIC1,2020/11/03 04:30:00,3447.06,10.94,TRADE
VIC1,2020/11/03 05:00:00,3542.25,25.53,TRADE
VIC1,2020/11/03 05:30:00,3600.36,41.88,TRADE
VIC1,2020/11/03 06:00:00,3652.17,43.54,TRADE
VIC1,2020/11/03 06:30:00,3734.22,16.82,TRADE
VIC1,2020/11/03 07:00:00,3703.9,13.56,TRADE
VIC1,2020/11/03 07:30:00,3593.82,22.18,TRADE
VIC1,2020/11/03 08:00:00,3597.73,26.87,TRADE
VIC1,2020/11/03 08:30:00,3496.47,37.57,TRADE
VIC1,2020/11/03 09:00:00,3377.34,19.17,TRADE
VIC1,2020/11/03 09:30:00,3332.78,6.94,TRADE
VIC1,2020/11/03 10:00:00,3240.26,16.12,TRADE
VIC1,2020/11/03 10:30:00,3257.55,0.50,TRADE
VIC1,2020/11/03 11:00:00,3241.54,7.12,TRADE
VIC1,2020/11/03 11:30:00,3219.3,15.51,TRADE
VIC1,2020/11/03 12:00:00,3202.37,3.33,TRADE
VIC1,2020/11/03 12:30:00,3239.39,6.51,TRADE
VIC1,2020/11/03 13:00:00,3306.03,11.10,TRADE
VIC1,2020/11/03 13:30:00,3427.01,13.54,TRADE
VIC1,2020/11/03 14:00:00,3600.95,24.90,TRADE
VIC1,2020/11/03 14:30:00,3738.36,35.03,TRADE
VIC1,2020/11/03 15:00:00,4051.73,40.42,TRADE
VIC1,2020/11/03 15:30:00,4267.39,45.75,TRADE
VIC1,2020/11/03 16:00:00,4667.98,109.40,TRADE
VIC1,2020/11/03 16:30:00,4891.95,74.62,TRADE
VIC1,2020/11/03 17:00:00,5002.77,64.49,TRADE
VIC1,2020/11/03 17:30:00,5191.43,84.04,TRADE
VIC1,2020/11/03 18:00:00,5188.41,179.78,TRADE
VIC1,2020/11/03 18:30:00,5202.83,100.48,TRADE
VIC1,2020/11/03 19:00:00,5153.03,123.17,TRADE
VIC1,2020/11/03 19:30:00,5107.61,125.42,TRADE
VIC1,2020/11/03 20:00:00,5064.68,64,TRADE
VIC1,2020/11/03 20:30:00,5020.44,51.75,TRADE
VIC1,2020/11/03 21:00:00,4804.95,44.26,TRADE
VIC1,2020/11/03 21:30:00,4567.15,45.30,TRADE
VIC1,2020/11/03 22:00:00,4372.55,41.20,TRADE
VIC1,2020/11/03 22:30:00,4263.75,46.34,TRADE
VIC1,2020/11/03 23:00:00,4122.89,42.50,TRADE
VIC1,2020/11/03 23:30:00,4322.72,46.89,TRADE
VIC1,2020/11/04 00:00:00,4267.92,45.53,TRADE
VIC1,2020/11/04 00:30:00,4093.11,41.22,TRADE
VIC1,2020/11/04 01:00:00,4032.37,43.33,TRADE
VIC1,2020/11/04 01:30:00,3887.47,38.81,TRADE
VIC1,2020/11/04 02:00:00,3761.16,39.47,TRADE
VIC1,2020/11/04 02:30:00,3716.97,42.96,TRADE
VIC1,2020/11/04 03:00:00,3657.12,39.76,TRADE
VIC1,2020/11/04 03:30:00,3674.39,39.41,TRADE
VIC1,2020/11/04 04:00:00,3723.11,45.26,TRADE
VIC1,2020/11/04 04:30:00,3845.43,48.65,TRADE
VIC1,2020/11/04 05:00:00,3992.69,50.78,TRADE
VIC1,2020/11/04 05:30:00,4243.82,74.46,TRADE
VIC1,2020/11/04 06:00:00,4459.8,62.17,TRADE
VIC1,2020/11/04 06:30:00,4552.2,57.98,TRADE
VIC1,2020/11/04 07:00:00,4745.31,61.44,TRADE
VIC1,2020/11/04 07:30:00,4896.49,60.66,TRADE
VIC1,2020/11/04 08:00:00,4914.39,53.52,TRADE
VIC1,2020/11/04 08:30:00,4986.74,45.30,TRADE
VIC1,2020/11/04 09:00:00,4997.97,79.10,TRADE
VIC1,2020/11/04 09:30:00,4984.65,79.10,TRADE
VIC1,2020/11/04 10:00:00,5037.79,56.27,TRADE
VIC1,2020/11/04 10:30:00,5045.26,51.03,TRADE
VIC1,2020/11/04 11:00:00,5038.68,69.99,TRADE
VIC1,2020/11/04 11:30:00,4952.73,41.27,TRADE
VIC1,2020/11/04 12:00:00,4914.45,39.13,TRADE
VIC1,2020/11/04 12:30:00,4951.51,59.88,TRADE
VIC1,2020/11/04 13:00:00,4915.64,48.50,TRADE
VIC1,2020/11/04 13:30:00,4900.33,59.12,TRADE
VIC1,2020/11/04 14:00:00,4774.05,40.97,TRADE
VIC1,2020/11/04 14:30:00,4710.22,51.74,TRADE
VIC1,2020/11/04 15:00:00,4715.07,42.71,TRADE
VIC1,2020/11/04 15:30:00,4774.79,37.10,TRADE
VIC1,2020/11/04 16:00:00,4903.77,40.29,TRADE
VIC1,2020/11/04 16:30:00,5026.92,70.77,TRADE
VIC1,2020/11/04 17:00:00,5092.97,56.65,TRADE
VIC1,2020/11/04 17:30:00,5003.73,72.39,TRADE
VIC1,2020/11/04 18:00:00,5039.93,113.04,TRADE
VIC1,2020/11/04 18:30:00,4975.32,75.86,TRADE
VIC1,2020/11/04 19:00:00,4903.47,84.10,TRADE
VIC1,2020/11/04 19:30:00,4936.58,62.09,TRADE
VIC1,2020/11/04 20:00:00,4839.77,60.47,TRADE
VIC1,2020/11/04 20:30:00,4741.75,82.38,TRADE
VIC1,2020/11/04 21:00:00,4546.69,74.31,TRADE
VIC1,2020/11/04 21:30:00,4379.6,60.27,TRADE
VIC1,2020/11/04 22:00:00,4245.15,51.79,TRADE
VIC1,2020/11/04 22:30:00,4130.15,47.29,TRADE
VIC1,2020/11/04 23:00:00,4076.86,43,TRADE
VIC1,2020/11/04 23:30:00,4305.57,47.15,TRADE
VIC1,2020/11/05 00:00:00,4334.31,43.38,TRADE
VIC1,2020/11/05 00:30:00,4195.89,37.65,TRADE
VIC1,2020/11/05 01:00:00,4049.53,35.57,TRADE
VIC1,2020/11/05 01:30:00,3967.22,34.58,TRADE
VIC1,2020/11/05 02:00:00,3867.74,32.52,TRADE
VIC1,2020/11/05 02:30:00,3712.4,28.75,TRADE
VIC1,2020/11/05 03:00:00,3689.62,32.28,TRADE
VIC1,2020/11/05 03:30:00,3683.73,20.66,TRADE
VIC1,2020/11/05 04:00:00,3689.29,35.21,TRADE
VIC1,2020/11/05 04:30:00,3893.88,43.15,TRADE
VIC1,2020/11/05 05:00:00,4057.33,43.47,TRADE
VIC1,2020/11/05 05:30:00,4351.77,48.35,TRADE
VIC1,2020/11/05 06:00:00,4635.63,18,TRADE
VIC1,2020/11/05 06:30:00,4942.96,49.74,TRADE
VIC1,2020/11/05 07:00:00,5107.67,62.35,TRADE
VIC1,2020/11/05 07:30:00,4897.97,46.51,TRADE
VIC1,2020/11/05 08:00:00,4760.1,38.13,TRADE
VIC1,2020/11/05 08:30:00,4633.21,12.70,TRADE
VIC1,2020/11/05 09:00:00,4521.76,5.35,TRADE
VIC1,2020/11/05 09:30:00,4422.55,-0.67,TRADE
VIC1,2020/11/05 10:00:00,4304.63,19.62,TRADE
VIC1,2020/11/05 10:30:00,4280.73,20.95,TRADE
VIC1,2020/11/05 11:00:00,4259.97,33.70,TRADE
VIC1,2020/11/05 11:30:00,4166.9,33.06,TRADE
VIC1,2020/11/05 12:00:00,4057.91,39.47,TRADE
VIC1,2020/11/05 12:30:00,4021.95,45.56,TRADE
VIC1,2020/11/05 13:00:00,4037.13,47.52,TRADE
VIC1,2020/11/05 13:30:00,4069.28,40.54,TRADE
VIC1,2020/11/05 14:00:00,4005.6,36.59,TRADE
VIC1,2020/11/05 14:30:00,3995.41,36.91,TRADE
VIC1,2020/11/05 15:00:00,4064.33,26.41,TRADE
VIC1,2020/11/05 15:30:00,4184.14,43.63,TRADE
VIC1,2020/11/05 16:00:00,4332.12,36.74,TRADE
VIC1,2020/11/05 16:30:00,4528.97,47.98,TRADE
VIC1,2020/11/05 17:00:00,4819.5,54.05,TRADE
VIC1,2020/11/05 17:30:00,4963.6,47.85,TRADE
VIC1,2020/11/05 18:00:00,5106.6,120.22,TRADE
VIC1,2020/11/05 18:30:00,5136.67,100.98,TRADE
VIC1,2020/11/05 19:00:00,5148.46,199.50,TRADE
VIC1,2020/11/05 19:30:00,5174.71,103.33,TRADE
VIC1,2020/11/05 20:00:00,5288.76,74.98,TRADE
VIC1,2020/11/05 20:30:00,5163.65,100.87,TRADE
VIC1,2020/11/05 21:00:00,4961.42,67.66,TRADE
VIC1,2020/11/05 21:30:00,4812.45,65.16,TRADE
VIC1,2020/11/05 22:00:00,4633.1,61.45,TRADE
VIC1,2020/11/05 22:30:00,4477.79,66.07,TRADE
VIC1,2020/11/05 23:00:00,4467.63,60.01,TRADE
VIC1,2020/11/05 23:30:00,4647.68,61.82,TRADE
VIC1,2020/11/06 00:00:00,4643.46,56.09,TRADE
VIC1,2020/11/06 00:30:00,4478.41,51.58,TRADE
VIC1,2020/11/06 01:00:00,4345.43,51.76,TRADE
VIC1,2020/11/06 01:30:00,4269.54,54.02,TRADE
VIC1,2020/11/06 02:00:00,4107.38,55.99,TRADE
VIC1,2020/11/06 02:30:00,3991.92,52.63,TRADE
VIC1,2020/11/06 03:00:00,3947.36,52.74,TRADE
VIC1,2020/11/06 03:30:00,3915.64,53.51,TRADE
VIC1,2020/11/06 04:00:00,3940.87,59.36,TRADE
VIC1,2020/11/06 04:30:00,4076.2,60.35,TRADE
VIC1,2020/11/06 05:00:00,4233.22,61.20,TRADE
VIC1,2020/11/06 05:30:00,4564.64,66.91,TRADE
VIC1,2020/11/06 06:00:00,4790.46,68.78,TRADE
VIC1,2020/11/06 06:30:00,5171.48,124.18,TRADE
VIC1,2020/11/06 07:00:00,5333.32,85.13,TRADE
VIC1,2020/11/06 07:30:00,5204.94,58.81,TRADE
VIC1,2020/11/06 08:00:00,5098.66,58.49,TRADE
VIC1,2020/11/06 08:30:00,5000.04,51.37,TRADE
VIC1,2020/11/06 09:00:00,4892.71,58.65,TRADE
VIC1,2020/11/06 09:30:00,4851.74,60.52,TRADE
VIC1,2020/11/06 10:00:00,4760.19,106.86,TRADE
VIC1,2020/11/06 10:30:00,4586.54,51.12,TRADE
VIC1,2020/11/06 11:00:00,4537.8,42.88,TRADE
VIC1,2020/11/06 11:30:00,4542.23,46.08,TRADE
VIC1,2020/11/06 12:00:00,4490.16,52.42,TRADE
VIC1,2020/11/06 12:30:00,4334.59,42.06,TRADE
VIC1,2020/11/06 13:00:00,4238.72,41.43,TRADE
VIC1,2020/11/06 13:30:00,4258.55,41.76,TRADE
VIC1,2020/11/06 14:00:00,4194.29,40.66,TRADE
VIC1,2020/11/06 14:30:00,4220.22,39.52,TRADE
VIC1,2020/11/06 15:00:00,4261.79,39.18,TRADE
VIC1,2020/11/06 15:30:00,4269.86,36.67,TRADE
VIC1,2020/11/06 16:00:00,4447.54,35.06,TRADE
VIC1,2020/11/06 16:30:00,4606.09,42.76,TRADE
VIC1,2020/11/06 17:00:00,4976.23,38.26,TRADE
VIC1,2020/11/06 17:30:00,5188.81,38.49,TRADE
VIC1,2020/11/06 18:00:00,5272.42,58.91,TRADE
VIC1,2020/11/06 18:30:00,5227.37,71.46,TRADE
VIC1,2020/11/06 19:00:00,5234.68,80.21,TRADE
VIC1,2020/11/06 19:30:00,5274.23,124.03,TRADE
VIC1,2020/11/06 20:00:00,5175.76,70,TRADE
VIC1,2020/11/06 20:30:00,5070.49,66.05,TRADE
VIC1,2020/11/06 21:00:00,4906.2,56.03,TRADE
VIC1,2020/11/06 21:30:00,4759.58,68.31,TRADE
VIC1,2020/11/06 22:00:00,4565.46,51.11,TRADE
VIC1,2020/11/06 22:30:00,4415.58,50.47,TRADE
VIC1,2020/11/06 23:00:00,4374.27,51.88,TRADE
VIC1,2020/11/06 23:30:00,4543.87,60.34,TRADE
