REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2020/12/01 00:30:00,4469.82,40.60,TRADE
VIC1,2020/12/01 01:00:00,4343.86,37.52,TRADE
VIC1,2020/12/01 01:30:00,4249.18,32.08,TRADE
VIC1,2020/12/01 02:00:00,4119.57,31.25,TRADE
VIC1,2020/12/01 02:30:00,4018.1,32.49,TRADE
VIC1,2020/12/01 03:00:00,3940.85,24.70,TRADE
VIC1,2020/12/01 03:30:00,3925.41,32.98,TRADE
VIC1,2020/12/01 04:00:00,3940.95,33.38,TRADE
VIC1,2020/12/01 04:30:00,4066.89,36.26,TRADE
VIC1,2020/12/01 05:00:00,4143.31,40.53,TRADE
VIC1,2020/12/01 05:30:00,4332.89,47.72,TRADE
VIC1,2020/12/01 06:00:00,4504.16,44.34,TRADE
VIC1,2020/12/01 06:30:00,4838.06,24.29,TRADE
VIC1,2020/12/01 07:00:00,5082.26,19.04,TRADE
VIC1,2020/12/01 07:30:00,5159.35,31.02,TRADE
VIC1,2020/12/01 08:00:00,5247.47,30.78,TRADE
VIC1,2020/12/01 08:30:00,5310.73,19.71,TRADE
VIC1,2020/12/01 09:00:00,5257.55,1.05,TRADE
VIC1,2020/12/01 09:30:00,5380.61,36.49,TRADE
VIC1,2020/12/01 10:00:00,5400.72,-12.10,TRADE
VIC1,2020/12/01 10:30:00,5500.81,26.06,TRADE
VIC1,2020/12/01 11:00:00,5406.48,4.90,TRADE
VIC1,2020/12/01 11:30:00,5461.41,25.40,TRADE
VIC1,2020/12/01 12:00:00,5409.52,19.14,TRADE
VIC1,2020/12/01 12:30:00,5219.89,25.18,TRADE
VIC1,2020/12/01 13:00:00,5164.35,15.45,TRADE
VIC1,2020/12/01 13:30:00,5074.19,18.30,TRADE
VIC1,2020/12/01 14:00:00,5001.16,-27.32,TRADE
VIC1,2020/12/01 14:30:00,4938.75,6.68,TRADE
VIC1,2020/12/01 15:00:00,4691.65,4.75,TRADE
VIC1,2020/12/01 15:30:00,4725.21,-15.52,TRADE
VIC1,2020/12/01 16:00:00,4663.8,-8.83,TRADE
VIC1,2020/12/01 16:30:00,4638.36,-43.19,TRADE
VIC1,2020/12/01 17:00:00,4704.28,1.82,TRADE
VIC1,2020/12/01 17:30:00,4843.76,10.90,TRADE
VIC1,2020/12/01 18:00:00,4847.83,11.94,TRADE
VIC1,2020/12/01 18:30:00,4877.21,26.54,TRADE
VIC1,2020/12/01 19:00:00,4867.66,35.41,TRADE
VIC1,2020/12/01 19:30:00,4833.75,26.63,TRADE
VIC1,2020/12/01 20:00:00,4823.66,38.59,TRADE
VIC1,2020/12/01 20:30:00,4772.34,36.85,TRADE
VIC1,2020/12/01 21:00:00,4634.18,36.73,TRADE
VIC1,2020/12/01 21:30:00,4475.6,37.72,TRADE
VIC1,2020/12/01 22:00:00,4316.12,31.73,TRADE
VIC1,2020/12/01 22:30:00,4197.45,40.14,TRADE
VIC1,2020/12/01 23:00:00,4150.11,17.68,TRADE
VIC1,2020/12/01 23:30:00,4398.66,35.29,TRADE
VIC1,2020/12/02 00:00:00,4330.47,37.46,TRADE
VIC1,2020/12/02 00:30:00,4125.76,19.67,TRADE
VIC1,2020/12/02 01:00:00,4004.9,15.82,TRADE
VIC1,2020/12/02 01:30:00,3938.19,28.52,TRADE
VIC1,2020/12/02 02:00:00,3812.55,20.65,TRADE
VIC1,2020/12/02 02:30:00,3728.84,16.14,TRADE
VIC1,2020/12/02 03:00:00,3683.93,31.92,TRADE
VIC1,2020/12/02 03:30:00,3723.42,21.93,TRADE
VIC1,2020/12/02 04:00:00,3805.69,35.01,TRADE
VIC1,2020/12/02 04:30:00,3917.54,46.07,TRADE
VIC1,2020/12/02 05:00:00,4068.14,52.58,TRADE
VIC1,2020/12/02 05:30:00,4308.28,48.82,TRADE
VIC1,2020/12/02 06:00:00,4532.03,54.77,TRADE
VIC1,2020/12/02 06:30:00,4780.8,54.48,TRADE
VIC1,2020/12/02 07:00:00,4882.07,49.75,TRADE
VIC1,2020/12/02 07:30:00,4681.01,35.61,TRADE
VIC1,2020/12/02 08:00:00,4591.85,22.60,TRADE
VIC1,2020/12/02 08:30:00,4522.15,49.08,TRADE
VIC1,2020/12/02 09:00:00,4288.89,34.76,TRADE
VIC1,2020/12/02 09:30:00,4154.66,33.15,TRADE
VIC1,2020/12/02 10:00:00,4066.05,32.45,TRADE
VIC1,2020/12/02 10:30:00,3904.32,34.90,TRADE
VIC1,2020/12/02 11:00:00,3796.79,34.92,TRADE
VIC1,2020/12/02 11:30:00,3891.36,34.98,TRADE
VIC1,2020/12/02 12:00:00,3975.61,27.32,TRADE
VIC1,2020/12/02 12:30:00,3943.82,31.34,TRADE
VIC1,2020/12/02 13:00:00,3952.19,35.43,TRADE
VIC1,2020/12/02 13:30:00,3941.07,31.44,TRADE
VIC1,2020/12/02 14:00:00,3948.54,34.95,TRADE
VIC1,2020/12/02 14:30:00,3972.79,34.06,TRADE
VIC1,2020/12/02 15:00:00,4046.68,52.67,TRADE
VIC1,2020/12/02 15:30:00,4159.5,45.47,TRADE
VIC1,2020/12/02 16:00:00,4257.6,49.68,TRADE
VIC1,2020/12/02 16:30:00,4450.52,36.18,TRADE
VIC1,2020/12/02 17:00:00,4632.61,32.72,TRADE
VIC1,2020/12/02 17:30:00,4853.85,36.21,TRADE
VIC1,2020/12/02 18:00:00,4964.41,42.05,TRADE
VIC1,2020/12/02 18:30:00,5055.1,45.51,TRADE
VIC1,2020/12/02 19:00:00,5023.06,61.30,TRADE
